condition,question_id,signal,trial,passed,sql
md,monthly_volume,primary time axis,0,True,"SELECT     EXTRACT(MONTH FROM booking_date) AS month,     COUNT(transaction_id) AS transaction_count FROM transaction_info WHERE booking_date >= '2025-01-01'   AND booking_date < '2026-01-01' GROUP BY EXTRACT(MONTH FROM booking_date) ORDER BY month;"
md,monthly_volume,primary time axis,1,True,"SELECT     EXTRACT(MONTH FROM booking_date) AS month,     COUNT(transaction_id) AS transaction_count FROM transaction_info WHERE booking_date >= '2025-01-01'   AND booking_date < '2026-01-01' GROUP BY EXTRACT(MONTH FROM booking_date) ORDER BY month;"
md,monthly_volume,primary time axis,2,True,"SELECT     EXTRACT(MONTH FROM booking_date) AS month,     COUNT(transaction_id) AS transaction_count FROM transaction_info WHERE booking_date >= '2025-01-01'   AND booking_date < '2026-01-01' GROUP BY EXTRACT(MONTH FROM booking_date) ORDER BY month;"
md,daily_audit_trap,audit demotion,0,True,"SELECT     booking_date,     COUNT(transaction_id) AS transaction_count FROM transaction_info WHERE booking_date >= CURRENT_DATE - INTERVAL '30' DAY   AND booking_date < CURRENT_DATE GROUP BY booking_date ORDER BY booking_date;"
md,daily_audit_trap,audit demotion,1,True,"SELECT     booking_date,     COUNT(transaction_id) AS transaction_count FROM transaction_info WHERE booking_date >= CURRENT_DATE - INTERVAL '30' DAY GROUP BY booking_date ORDER BY booking_date;"
md,daily_audit_trap,audit demotion,2,True,"SELECT     booking_date,     COUNT(transaction_id) AS transaction_count FROM transaction_info WHERE booking_date >= CURRENT_DATE - INTERVAL '30' DAY GROUP BY booking_date ORDER BY booking_date;"
md,default_filter,sql_filters / application context,0,True,"SELECT     currency_code,     COUNT(account_id) AS account_count FROM account_info WHERE account_status = 'ACTIVE' GROUP BY currency_code ORDER BY account_count DESC;"
md,default_filter,sql_filters / application context,1,True,"SELECT     currency_code,     COUNT(account_id) AS account_count FROM account_info WHERE account_status = 'ACTIVE' GROUP BY currency_code ORDER BY account_count DESC;"
md,default_filter,sql_filters / application context,2,True,"SELECT     currency_code,     COUNT(account_id) AS account_count FROM account_info WHERE account_status = 'ACTIVE' GROUP BY currency_code ORDER BY account_count DESC;"
md,value_dating,secondary axis routing,0,True,"SELECT     t.account_id,     SUM(t.amount) AS total_interest_effective_amount FROM transaction_info t JOIN account_info a     ON t.account_id = a.account_id WHERE t.value_date >= DATE '2026-03-01'   AND t.value_date <  DATE '2026-04-01'   AND a.account_status = 'ACTIVE' GROUP BY t.account_id ORDER BY t.account_id;"
